update_frequency,resolution,scan-obstacle_max_range,scan-raytrace_max_range,vx-z_voxels,vx-publish_voxel_map,vx-unknown_threshold,vx-mark_threshold,inf-inflation_radius,inf-cost_scaling_factor,rolling_window,width,height,track_unknown_space,transform_tolerance,subscribe_to_updates,inflate_unknknown,inflate_around_unknown,local_costmap_plugins,global_costmap_plugins
1,0.1,1,1,IGNORED,false,IGNORED,IGNORED,0.25,1,true,1,1,true,0.1,true,true,true,[],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,2,2,IGNORED,false,IGNORED,IGNORED,0.5,2,false,IGNORED,IGNORED,false,0.5,false,false,false,[],"['static_layer', 'obstacle_layer', 'inflation_layer']"
10,0.2,3,3,15,true,15,2,0.75,3,false,IGNORED,IGNORED,true,1,false,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
10,0.1,2,3,IGNORED,false,IGNORED,IGNORED,0.25,3,true,2,3,false,0.1,true,false,false,['obstacle_layer'],"['static_layer', 'inflation_layer']"
5,0.1,3,1,IGNORED,false,5,2,0.75,2,true,3,1,false,1,true,false,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
1,0.2,1,2,IGNORED,false,IGNORED,IGNORED,0.75,1,false,IGNORED,IGNORED,false,1,true,false,false,['obstacle_layer'],"['static_layer', 'inflation_layer']"
1,0.1,3,2,IGNORED,false,IGNORED,IGNORED,0.5,3,true,3,2,true,0.5,false,true,true,['obstacle_layer'],"['static_layer', 'inflation_layer']"
5,0.2,1,3,10,true,15,0,0.5,1,true,1,3,true,0.5,false,false,true,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
10,0.2,1,1,IGNORED,false,IGNORED,IGNORED,0.5,2,false,IGNORED,IGNORED,true,0.1,false,true,false,['obstacle_layer'],"['static_layer', 'inflation_layer']"
10,0.1,2,2,15,true,5,0,0.25,3,false,IGNORED,IGNORED,false,0.5,false,false,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
1,0.2,2,1,IGNORED,false,IGNORED,IGNORED,0.75,2,false,IGNORED,IGNORED,true,1,false,true,false,[],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,3,3,IGNORED,false,IGNORED,IGNORED,0.25,1,true,3,1,true,0.1,false,true,false,[],"['static_layer', 'obstacle_layer', 'inflation_layer']"
10,0.1,3,1,IGNORED,false,IGNORED,IGNORED,0.25,3,true,1,2,true,0.1,false,true,false,[],"['static_layer', 'obstacle_layer', 'inflation_layer']"
1,0.2,2,3,10,true,5,1,0.75,2,true,1,1,true,0.5,true,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,1,2,5,true,15,2,0.25,3,true,1,1,true,0.1,false,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,1,2,10,true,10,0,0.25,2,true,2,3,true,1,false,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,1,3,IGNORED,false,IGNORED,IGNORED,0.5,1,true,3,2,true,1,true,true,false,['obstacle_layer'],"['static_layer', 'inflation_layer']"
10,0.2,2,1,10,true,5,1,0.75,1,true,2,3,true,1,false,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,3,1,10,true,5,1,0.75,1,true,2,3,true,0.1,false,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
5,0.2,1,1,10,true,5,1,0.75,1,true,2,3,true,0.5,false,true,false,['voxel_layer'],"['static_layer', 'obstacle_layer', 'inflation_layer']"
